Tipo de evento;Event type;Nome;Name;Data;ImageName
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Tepig;Tepig;03/07/2021;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Eevee;Eevee;14/08/2021;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Eevee;Eevee;15/08/2021;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Oshawott;Oshawott;19/09/2021;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Duskull;Duskull;09/10/2021;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Shinx;Shinx;21/11/2021;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Celebração de 2021;2021 Celebration;18/12/2021;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Celebração de 2021;2021 Celebration;19/12/2021;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Spheal;Spheal;16/01/2022;GO_Community_Day_Logo
Clássicos do Dia Comunitário;Community Day Classic;Bulbasaur;Bulbasaur;22/01/2022;GO_Community_Day_Classic_logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Hoppip;Hoppip;12/02/2022;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Sandshrew e Sandshrew de Alola;Sandshrew and Alolan Sandshrew;13/03/2022;GO_Community_Day_Logo
Clássicos do Dia Comunitário;Community Day Classic;Mudkip;Mudkip;10/04/2022;GO_Community_Day_Classic_logo
Dia Comunitário;Community Day;Stufful;Stufful;23/04/2022;GO_Community_Day_Logo
Dia Comunitário;Community Day;Geodude de Alola;Alolan Geodude;21/05/2022;GO_Community_Day_Logo
Dia Comunitário;Community Day;Deino;Deino;25/06/2022;GO_Community_Day_Logo
Dia Comunitário;Community Day;Starly;Starly;17/07/2022;GO_Community_Day_Logo
Dia Comunitário;Community Day;Zigzagoon de Galar;Galarian Zigzagoon;13/08/2022;GO_Community_Day_Logo
Dia Comunitário;Community Day;Roggenrola;Roggenrola;18/09/2022;GO_Community_Day_Logo
Dia Comunitário;Community Day;Litwick;Litwick;15/10/2022;GO_Community_Day_Logo
Clássicos do Dia Comunitário;Community Day Classic;Dratini;Dratini;05/11/2022;GO_Community_Day_Classic_logo
Dia Comunitário;Community Day;Teddiursa;Teddiursa;12/11/2022;GO_Community_Day_Logo
Dia Comunitário;Community Day;Celebração de 2022;2022 Celebration;17/12/2022;GO_Community_Day_Logo
Dia Comunitário;Community Day;Celebração de 2022;2022 Celebration;18/12/2022;GO_Community_Day_Logo
Dia Comunitário;Community Day;Chespin;Chespin;07/01/2023;GO_Community_Day_Logo
Clássicos do Dia Comunitário;Community Day Classic;Larvitar;Larvitar;21/01/2023;GO_Community_Day_Classic_logo
Dia Comunitário;Community Day;Noibat;Noibat;05/02/2023;GO_Community_Day_Logo
Dia Comunitário;Community Day;Slowpoke;Slowpoke;18/03/2023;GO_Community_Day_Logo
Dia Comunitário;Community Day;Togetic;Togetic;15/04/2023;GO_Community_Day_Logo
Clássicos do Dia Comunitário;Community Day Classic;Swinub;Swinub;29/04/2023;GO_Community_Day_Classic_logo
Dia Comunitário;Community Day;Frennekin;Frennekin;21/05/2023;GO_Community_Day_Logo
Dia Comunitário;Community Day;Axew;Axew;10/06/2023;GO_Community_Day_Logo
Clássicos do Dia Comunitário;Community Day Classic;Squirtle;Squirtle;09/07/2023;GO_Community_Day_Classic_logo
Dia Comunitário;Community Day;Poliwag;Poliwag;30/07/2023;GO_Community_Day_Logo
Dia Comunitário;Community Day;Froakie;Froakie;13/08/2023;GO_Community_Day_Logo
Clássicos do Dia Comunitário;Community Day Classic;Charmander;Charmander;02/09/2023;GO_Community_Day_Classic_logo
Dia Comunitário;Community Day;Grubbin;Grubbin;23/09/2023;GO_Community_Day_Logo
Dia Comunitário;Community Day;Timburr;Timburr;15/10/2023;GO_Community_Day_Logo
Dia Comunitário;Community Day;Wooper e Wooper de Paldea;Wooper and Paldean Wooper;05/11/2023;GO_Community_Day_Logo
Clássicos do Dia Comunitário;Community Day Classic;Mareep;Mareep;25/11/2023;GO_Community_Day_Classic_logo
Dia Comunitário;Community Day;Celebração de 2023;2023 Celebration;16/12/2023;GO_Community_Day_Logo
Dia Comunitário;Community Day;Celebração de 2023;2023 Celebration;17/12/2023;GO_Community_Day_Logo
Dia Comunitário;Community Day;Rowlet;Rowlet;06/01/2024;GO_Community_Day_Logo
Clássicos do Dia Comunitário;Community Day Classic;Porygon;Porygon;20/01/2024;GO_Community_Day_Classic_logo
Dia Comunitário;Community Day;Chansey;Chansey;04/02/2024;GO_Community_Day_Logo
Dia Comunitário;Community Day;Litten;Litten;16/03/2024;GO_Community_Day_Logo
Clássicos do Dia Comunitário;Community Day Classic;Bagon;Bagon;07/04/2024;GO_Community_Day_Classic_logo
Dia Comunitário;Community Day;Bounsweet;Bounsweet;19/05/2024;GO_Community_Day_Logo
Dia Comunitário;Community Day;Goomy;Goomy;09/06/2024;GO_Community_Day_Logo
